Temperature,Humidity,Rainfall,Farming_Practice
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
25,80,100,Plowing
30,70,150,Irrigation
20,60,200,Weeding
28,75,120,Planting
35,65,100,Harvesting
22,85,220,Fertilizing
28,78,110,Sowing
31,73,145,Threshing
22,64,215,Tilling
30,76,135,Seeding
